status,folder,phase,knot,line,filename,ink_speaker,say_this,ink_src_line,note
MISSING,Mandy,2,Mandy_story_phase_1,1,Mandy/p_2/p_2_l_1.wav,Mrs Wong,Hey!,300,candidate: Mandy/p_3/p_3_l_1.wav (rename p_3→p_2)
WRONG_FOLDER,Mandy,2,Mandy_story_phase_1,2,Mandy/p_2/p_2_l_2.wav,Mrs Wong,Isn’t that Miss Lee! Doing laundry at this hour?,301,exists as MC/p_2/p_2_l_2.wav — move to Mandy; candidate: Mandy/p_3/p_3_l_2.wav (rename p_3→p_2)
WRONG_FOLDER,Mandy,2,Mandy_story_phase_1,4,Mandy/p_2/p_2_l_4.wav,Mrs Wong,Poor girl.,307,exists as MC/p_2/p_2_l_4.wav — move to Mandy; candidate: Mandy/p_3/p_3_l_4.wav (rename p_3→p_2)
MISSING,MC,2,Mandy_story_phase_1,5,MC/p_2/p_2_l_5.wav,You,...,309,
MISSING,Mandy,2,Mandy_story_phase_1,6,Mandy/p_2/p_2_l_6.wav,Mrs Wong,Why aren’t you saying anything?,310,candidate: Mandy/p_3/p_3_l_6.wav (rename p_3→p_2)
MISSING,MC,2,Mandy_story_phase_1,7,MC/p_2/p_2_l_7.wav,You,I have some clothes I really need for tomorrow.,312,candidate: MC/p_3/p_3_l_7.wav (rename p_3→p_2)
MISSING,Mandy,2,Mandy_story_phase_1,8,Mandy/p_2/p_2_l_8.wav,Mrs Wong,What’s the hurry?,313,candidate: Mandy/p_3/p_3_l_8.wav (rename p_3→p_2)
MISSING,Mandy,2,Mandy_story_phase_1,9,Mandy/p_2/p_2_l_9.wav,Mrs Wong,Is everything alright?,318,candidate: Mandy/p_3/p_3_l_9.wav (rename p_3→p_2)
MISSING,MC,2,Mandy_story_phase_1,13,MC/p_2/p_2_l_13.wav,You,"Yeah, I’m fine. And you?",325,candidate: MC/p_3/p_3_l_13.wav (rename p_3→p_2)
MISSING,Mandy,2,Mandy_story_phase_1,14,Mandy/p_2/p_2_l_14.wav,Mrs Wong,"Oh, I’m really tired.",326,candidate: Mandy/p_3/p_3_l_14.wav (rename p_3→p_2)
MISSING,Mandy,2,Mandy_story_phase_1,16,Mandy/p_2/p_2_l_16.wav,Mrs Wong,Same.,329,candidate: Mandy/p_3/p_3_l_16.wav (rename p_3→p_2)
MISSING,MC,2,Mandy_story_phase_1,17,MC/p_2/p_2_l_17.wav,You,It’s just too hot to fall asleep in this weather.,331,candidate: MC/p_3/p_3_l_17.wav (rename p_3→p_2)
WRONG_FOLDER,Mandy,2,Mandy_story_phase_1,18,Mandy/p_2/p_2_l_18.wav,Mrs Wong,Fair. I’m the opposite.,332,exists as MC/p_2/p_2_l_18.wav — move to Mandy; candidate: Mandy/p_3/p_3_l_18.wav (rename p_3→p_2)
MISSING,MC,2,Mandy_story_phase_1,19,MC/p_2/p_2_l_19.wav,You,Just need to wash these for my boyfriend.,334,candidate: MC/p_3/p_3_l_19.wav (rename p_3→p_2)
MISSING,Mandy,2,Mandy_story_phase_1,20,Mandy/p_2/p_2_l_20.wav,Mrs Wong,What’s the hurry? It’s 3 am.,336,candidate: Mandy/p_3/p_3_l_20.wav (rename p_3→p_2)
MISSING,Mandy,2,Mandy_story_phase_1,21,Mandy/p_2/p_2_l_21.wav,Mrs Wong,"I’d fall asleep as soon as my head hit the pillow, if I don’t need to be here.",338,candidate: Mandy/p_3/p_3_l_21.wav (rename p_3→p_2)
MISSING,MC,2,Mandy_story_phase_1,22,MC/p_2/p_2_l_22.wav,You,My boyfriend needs to wear these tomorrow at work.,344,candidate: MC/p_3/p_3_l_22.wav (rename p_3→p_2)
MISSING,Mandy,2,Mandy_story_phase_1,24,Mandy/p_2/p_2_l_24.wav,Mrs Wong,I see.,348,candidate: Mandy/p_3/p_3_l_24.wav (rename p_3→p_2)
WRONG_FOLDER,Mandy,2,Mandy_story_phase_1,25,Mandy/p_2/p_2_l_25.wav,Mrs Wong,"And my husband is playing Mahjong somewhere again, leaving me to run this place overnight.",349,exists as MC/p_2/p_2_l_25.wav — move to Mandy; candidate: Mandy/p_3/p_3_l_25.wav (rename p_3→p_2)
WRONG_FOLDER,Mandy,2,Mandy_story_phase_1,26,Mandy/p_2/p_2_l_26.wav,Mrs Wong,It’s a wonder what we women put up with.,352,exists as MC/p_2/p_2_l_26.wav — move to Mandy; candidate: Mandy/p_3/p_3_l_26.wav (rename p_3→p_2)
MISSING,Mandy,2,Mandy_story_phase_1,28,Mandy/p_2/p_2_l_28.wav,Mrs Wong,You could say so.,361,candidate: Mandy/p_3/p_3_l_28.wav (rename p_3→p_2)
MISSING,Mandy,2,Mandy_story_phase_1,29,Mandy/p_2/p_2_l_29.wav,Mrs Wong,"My husband is off playing Mahjong again, someone has to run this place.",362,candidate: Mandy/p_3/p_3_l_29.wav (rename p_3→p_2)
MISSING,MC,2,Mandy_story_phase_1,30,MC/p_2/p_2_l_30.wav,You,"I’m sorry, Mrs Wong. That sounds rough.",369,candidate: MC/p_3/p_3_l_30.wav (rename p_3→p_2)
MISSING,Mandy,2,Mandy_story_phase_1,31,Mandy/p_2/p_2_l_31.wav,Mrs Wong,I’m used to it by now.,370,candidate: Mandy/p_3/p_3_l_31.wav (rename p_3→p_2)
MISSING,MC,2,Mandy_story_phase_1,32,MC/p_2/p_2_l_32.wav,You,Phew. Couldn’t your son help?,374,candidate wrong author: Mandy/p_3/p_3_l_32.wav
MISSING,Mandy,2,Mandy_story_phase_1,33,Mandy/p_2/p_2_l_33.wav,Mrs Wong,He’s sick.,376,candidate wrong author: MC/p_3/p_3_l_33.wav
MISSING,Mandy,2,Mandy_story_phase_1,34,Mandy/p_2/p_2_l_34.wav,Mrs Wong,I asked him to stay home and rest.,377,candidate: Mandy/p_3/p_3_l_34.wav (rename p_3→p_2)
MISSING,Mandy,2,Mandy_story_phase_1,36,Mandy/p_2/p_2_l_36.wav,Mrs Wong,I’m used to it by now.,382,candidate: Mandy/p_3/p_3_l_36.wav (rename p_3→p_2)
WRONG_FOLDER,Mandy,2,Mandy_story_phase_1,37,Mandy/p_2/p_2_l_37.wav,Mrs Wong,"Okay, enough about me.",386,exists as MC/p_2/p_2_l_37.wav — move to Mandy
WRONG_FOLDER,Mandy,2,Mandy_story_phase_1,38,Mandy/p_2/p_2_l_38.wav,Mrs Wong,"I haven’t seen your boyfriend in a while, how are you guys doing?",387,exists as MC/p_2/p_2_l_38.wav — move to Mandy
MISSING,Mandy,2,Mandy_story_phase_1,43,Mandy/p_2/p_2_l_43.wav,Mrs Wong,"Woah, congratulations, Miss Lee! Wait, did you say yes?",396,candidate wrong author: MC/p_3/p_3_l_43.wav
MISSING,Mandy,2,Mandy_story_phase_1,44,Mandy/p_2/p_2_l_44.wav,Mrs Wong,You seem more concerned than happy.,397,candidate: Mandy/p_3/p_3_l_44.wav (rename p_3→p_2)
MISSING,MC,2,Mandy_story_phase_1,45,MC/p_2/p_2_l_45.wav,You,Jason is quite busy these days with his job. We are doing quite fine.,400,
MISSING,Mandy,2,Mandy_story_phase_1,46,Mandy/p_2/p_2_l_46.wav,Mrs Wong,I see.,401,candidate wrong author: MC/p_3/p_3_l_46.wav
MISSING,MC,2,Mandy_story_phase_1,49,MC/p_2/p_2_l_49.wav,You,"I said yes. Sorry, just too many things happened...",410,candidate: MC/p_3/p_3_l_49.wav (rename p_3→p_2)
MISSING,Mandy,2,Mandy_story_phase_1,50,Mandy/p_2/p_2_l_50.wav,Mrs Wong,I see. You’ll look so beautiful in your wedding dress.,412,candidate: Mandy/p_3/p_3_l_50.wav (rename p_3→p_2)
MISSING,MC,2,Mandy_story_phase_1,51,MC/p_2/p_2_l_51.wav,You,"Haha, you’re too kind.",415,candidate wrong author: Mandy/p_3/p_3_l_51.wav
MISSING,Mandy,2,Mandy_story_phase_1,52,Mandy/p_2/p_2_l_52.wav,Mrs Wong,How wonderful.,416,
MISSING,MC,2,Mandy_story_phase_1,53,MC/p_2/p_2_l_53.wav,You,...,418,candidate: MC/p_3/p_3_l_53.wav (rename p_3→p_2)
